,7.0,30.0,90.0
oral Prevotella,-5.988197055883659,-11.717240804225785,-15.919885690391736
oral Propionibacterium,1.6502308828169063,2.3076469851332093,2.117246800982411
oral Pseudomonas,0.0,0.7108363879992599,0.0
oral Pseudopropionibacterium,-0.05991205322694696,-0.01604665751993459,0.2442795491224769
oral Pseudoramibacter,0.06782635312627637,0.13416494972434326,0.04176983375962686
oral Pyramidobacter,0.0,0.0022747404362490784,0.017854887805773247
oral Rodentibacter,-0.026323081077715003,0.055841431011451365,0.03706979995974297
oral Rothia,14.472847798105075,1.5843810837653811,8.89016074441045
oral Sanguibacter,0.0,0.0017282268976382927,0.0
oral Scardovia,0.8301758468587713,0.47882212757742076,3.0773737993698025
oral Selenomonas,0.9085731721252247,-1.1105694705845757,-0.0312053092278039
oral Shuttleworthia,0.013639979762220778,0.2000455150021001,0.09745785838201419
oral Slackia,0.2936255983352526,0.19253953848342836,0.1689897276059231
oral Solobacterium,0.19806653559880602,0.07340296828209858,-0.13425257601161367
oral Staphylococcus,-0.018636550106148373,-0.020675909500439904,0.019134157585397677
oral Stomatobaculum,-0.38822802921195376,-0.8043299334501411,-1.0442390362459903
oral Streptococcus,-3.5963855294104023,2.0513522741993175,-1.851263283052125
oral Tannerella,-0.12076276150566014,0.14264794554604338,-0.15700144662397789
oral Treponema,0.2771682716000683,0.4509632378226755,0.08104182322368862
oral Trueperella,-0.00571709206006492,-0.06054008266187225,-0.15568115096737475
oral Veillonella,-1.4944112348827994,-6.442413231667605,-6.400209845673383
oral Xylanimonas,0.3817542766951225,-0.12780025631761754,-0.23102909256491722
oral unclassified,-4.228499682578552,5.122325587562231,1.792276853998449
oral unclassified Actinomycetaceae,-0.04433034158938871,-0.04594859342731912,-0.0008543456038017022
oral unclassified Anaerolineaceae,0.0,0.018965063155584924,0.0
oral unclassified Atopobiaceae,0.26291150490698206,0.18099512065760195,0.04134337195660058
oral unclassified Bacteria,0.729177331457243,0.04137655049265472,-0.006002495806801693
