,name1,name2,Site
187,gut unclassified Erysipelotrichaceae,gut unclassified Erysipelotrichaceae,Oral
189,gut unclassified Firmicutes,gut unclassified Firmicutes,Oral
190,gut unclassified Lachnospiraceae,gut unclassified Lachnospiraceae,Oral
191,gut unclassified Oscillospiraceae,gut unclassified Oscillospiraceae,Oral
192,gut unclassified Prevotellaceae,gut unclassified Prevotellaceae,Oral
195,gut unclassified Rhodospirillaceae,gut unclassified Rhodospirillaceae,Oral
196,gut unclassified Ruminococcaceae,gut unclassified Ruminococcaceae,Oral
198,gut unclassified Verrucomicrobia,gut unclassified Verrucomicrobia,Oral
0,oral Alloscardovia,oral Alloscardovia,Gut
1,oral Caviibacter,oral Caviibacter,Gut
2,gut Acidiphilium,gut Acidiphilium,Gut
3,oral Carnobacterium,oral Carnobacterium,Gut
4,oral Trueperella,oral Trueperella,Gut
5,oral Xylanimonas,oral Xylanimonas,Gut
6,oral unclassified Actinomycetaceae,oral unclassified Actinomycetaceae,Gut
7,oral unclassified Neisseriaceae,oral unclassified Neisseriaceae,Gut
8,oral Abiotrophia,oral Abiotrophia,Gut
9,oral Desulfomicrobium,oral Desulfomicrobium,Gut
11,gut Acetobacter,gut Acetobacter,Gut
12,oral Campylobacter,oral Campylobacter,Gut
13,oral Prevotella,oral Prevotella,Gut
14,oral Veillonella,oral Veillonella,Gut
17,oral Alloprevotella,oral Alloprevotella,Gut
19,oral Catonella,oral Catonella,Gut
20,oral Isoptericola,oral Isoptericola,Gut
21,oral unclassified Atopobiaceae,oral unclassified Atopobiaceae,Gut
23,oral Selenomonas,oral Selenomonas,Gut
24,oral Desulfobulbus,oral Desulfobulbus,Gut
25,oral Lactobacillus,oral Lactobacillus,Gut
26,oral Parascardovia,oral Parascardovia,Gut
27,oral Bradyrhizobium,oral Bradyrhizobium,Gut
29,oral Bacteroides,oral Bacteroides,Gut
32,oral Fretibacterium,oral Fretibacterium,Gut
33,oral Sanguibacter,oral Sanguibacter,Gut
34,oral unclassified Bacteroidetes,oral unclassified Bacteroidetes,Gut
35,oral unclassified Synergistaceae,oral unclassified Synergistaceae,Gut
36,oral unclassified Synergistales,oral unclassified Synergistales,Gut
37,oral Actinobaculum,oral Actinobaculum,Gut
38,oral Chlamydia,oral Chlamydia,Gut
39,oral Peptoanaerobacter,oral Peptoanaerobacter,Gut
41,oral unclassified Bacteroidales,oral unclassified Bacteroidales,Gut
42,oral unclassified Candidatus Gracilibacteria,oral unclassified Candidatus Gracilibacteria,Gut
43,oral unclassified Firmicutes,oral unclassified Firmicutes,Gut
44,oral unclassified Selenomonadaceae,oral unclassified Selenomonadaceae,Gut
45,gut Acidaminococcus,gut Acidaminococcus,Gut
46,oral Megasphaera,oral Megasphaera,Gut
47,oral Stomatobaculum,oral Stomatobaculum,Gut
49,oral Centipeda,oral Centipeda,Gut
50,oral Colibacter,oral Colibacter,Gut
51,oral Desulfovibrio,oral Desulfovibrio,Gut
52,oral Johnsonella,oral Johnsonella,Gut
53,oral Phocaeicola,oral Phocaeicola,Gut
54,oral Treponema,oral Treponema,Gut
57,oral Mycoplasma,oral Mycoplasma,Gut
59,oral Solobacterium,oral Solobacterium,Gut
65,oral Cardiobacterium,oral Cardiobacterium,Gut
66,oral Eikenella,oral Eikenella,Gut
67,oral Gemella,oral Gemella,Gut
68,oral Granulicatella,oral Granulicatella,Gut
69,oral Neisseria,oral Neisseria,Gut
72,oral Haemophilus,oral Haemophilus,Gut
73,oral Peptostreptococcus,oral Peptostreptococcus,Gut
74,oral Pseudopropionibacterium,oral Pseudopropionibacterium,Gut
