CAZyme,FMT102,FMT103,FMT104,FMT105,FMT106,FMT107,FMT108,FMT109,FMT110,FMT111,FMT112,FMT113,FMT114,FMT115,FMT116,FMT117,FMT118,FMT119,FMT120,FMT121,FMT122,FMT123,FMT124,FMT125,FMT126,FMT127,FMT128,FMT129,FMT130,FMT131,FMT132,FMT133,FMT134,FMT135,FMT136,FMT137,FMT138,FMT139,FMT141,FMT142,FMT143,FMT144,FMT145,FMT146,FMT147,FMT148,FMT149,FMT150,FMT151,FMT152,FMT153,FMT154,FMT155,FMT156,FMT157,FMT158,FMT159,FMT161,FMT163,FMT164,FMT165,FMT166,FMT167,FMT168,FMT169,FMT170,FMT171,FMT172,FMT173,FMT174,FMT175,FMT177,FMT178,FMT180,FMT181,FMT182,FMT183,FMT184,FMT185,FMT186,FMT188,FMT189,FMT190,FMT191,FMT192,FMT193,FMT194,FMT195,FMT196,FMT201
CBM13-CBM13-CBM13-CBM13-GH73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98482893299511e-08,0.0,1.383600413789782e-07,2.56101603331238e-08,6.220972435629618e-07,1.091810122304488e-06,1.488826687030462e-06,0.0,0.0,0.0,3.07043090267004e-08,3.14527156163712e-08,0.0,5.99630874316713e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64435252962468e-08,0.0,0.0,0.0,0.0,1.736336542315473e-07,2.237802999303924e-07,2.167818273079879e-07,1.62044416439597e-06,0.0,0.0,0.0,0.0,0.0,3.00075655676209e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBM13-CBM13-CBM13-GH25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16224526437316e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23026368470317e-07,4.04479720189909e-08,0.0,1.78616013753473e-07,8.7305027910931e-08,4.34838325074748e-08,2.24031313796939e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30047208462227e-07,4.26858632476961e-08,0.0,2.17838484826296e-08,0.0,0.0,0.0,1.51992641231466e-07,1.29243804040916e-07,0.0
CBM13-CBM13-CBM13-GH73,0.0,0.0,0.0,0.0,1.368861112872887e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.840067691670954e-07,1.25168435201662e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.34300840495452e-07,1.236127574317589e-07,1.3822677278377158e-06,3.426164241089749e-07,4.287562264409222e-07,7.636029946608141e-07,1.9012906562844988e-06,0.0,1.247317364941585e-07,1.794841707269269e-06,4.7185539542046665e-06,1.720681422707342e-06,6.34594164062452e-08,3.831047458618045e-07,2.194129363494369e-07,0.0,4.507737361680568e-07,1.744401773100962e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.10305081966502e-08,0.0,0.0,0.0,0.0,0.0,9.702798033184032e-07,2.96608275903865e-08,0.0,0.0,1.200257743063673e-06,1.337072472601906e-06,7.296335029765639e-07,0.0,6.784892262185648e-07,8.68207824185273e-07,7.23002902121945e-07,0.0,9.10727521280751e-08,1.667432022267182e-06,2.0102197312114515e-06,4.264553445758061e-07,0.0,2.297302149459436e-06,4.41583880564037e-07,4.502595544650391e-06,2.2001767442944435e-06,5.996886028004137e-07,1.04290922483546e-07,1.19798378028383e-07,2.94704375600458e-08,1.16078253343202e-07,2.10817286121906e-07,2.469155208644794e-07,0.0,1.96423851399522e-07,0.0,2.95230568035238e-08,0.0,1.4089211763931e-07
CBM13-CBM13-GH73,0.0,0.0,0.0,0.0,3.64898684849752e-07,0.0,0.0,4.76732026741905e-08,0.0,9.0085198053258e-07,9.47097784380229e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13471289309209e-06,2.06939049703701e-06,2.15468915501957e-06,6.18613310307185e-07,0.0,0.0,6.32014185941518e-08,1.83897465828366e-07,1.56983250848199e-07,3.18428265924385e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1095423192842e-08,0.0,4.75156096105099e-08,8.40539722944158e-08,4.24521440079497e-08,4.70812428222857e-07,0.0,0.0,0.0,0.0,3.53663050070411e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96674454407058e-08,0.0,0.0,8.98622284377953e-08,1.20762983133093e-07,9.12440486023598e-08,3.11789344040628e-08,5.855935578420581e-07,0.0,0.0,0.0,0.0,0.0,5.27135269518935e-07,0.0,0.0,0.0,0.0,0.0,0.0
CBM13-CBM13-GH93,0.0,0.0,3.12740896841899e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50118739171514e-06,7.20272047315119e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23174466893943e-07,0.0,0.0,0.0
CBM13-COH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7922739788623e-08,0.0,0.0,0.0
CBM13-GH2,0.0,0.0,0.0,0.0,4.210472817127633e-07,0.0,0.0,1.18647925308588e-06,1.76455864398686e-08,1.02150112057353e-06,1.4600036261885e-06,0.0,0.0,3.02928755099114e-08,5.64929972609855e-08,0.0,1.12992777688726e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.93646619814e-08,9.47696645049897e-08,1.28217726184396e-07,1.83768656081643e-08,5.2900305016566706e-08,0.0,3.46061962295486e-08,0.0,4.69333117100827e-07,0.0,1.10279506498892e-07,0.0,0.0,1.92132524425615e-08,0.0,1.1088873842935848e-05,1.5048330990289102e-06,9.27867452245805e-07,0.0,3.89709138930006e-06,3.3172657619356e-06,7.41044776992398e-06,0.0,2.08779746109634e-06,1.39491184129995e-06,1.40381526022791e-06,0.0,1.75139610172572e-07,5.82941768126461e-08,0.0,3.65357198108819e-06,3.85947448413322e-07,5.13895569019804e-07,1.41168237430798e-07,2.79014969647245e-08,1.92743879758238e-07,0.0,2.82266127545885e-08,0.0,0.0,9.34520985800365e-08,2.2259743683903e-07,3.71053920565944e-06,3.75452733535767e-06,2.85763987562654e-07,5.33449163713093e-08,9.659984734703206e-07,7.485556294025796e-07,9.704643305281012e-07,1.71205948539358e-07,8.981419945413e-08,2.1725718932442e-07,3.28303011860548e-07,1.12184172318627e-07,6.0741552342116e-07,2.76832663701958e-06,1.0165682793873013e-06,5.54447998205708e-08,1.36491346349672e-07,1.88909264922029e-06,4.81282172488754e-07,2.51544530853947e-06,1.190031639504235e-06,2.64378052033916e-07,5.55437960915084e-08,3.8571591420398e-07,1.375656027827e-06
CBM13-GH76-CBM6-CBM32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94912363161651e-06,2.57020665099099e-06,1.48516598639859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21595462902762e-05,2.01478143669853e-07,8.08290185222156e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBM13-GH76-CBM6-CBM32-CBM32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30104873176949e-06,1.82829132905545e-06,1.25470919540571e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBM13-GH76-CBM6-CBM32-CBM32-CBM32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32280050580539e-07,1.03505343321941e-07,4.55327774256138e-07,2.26784151446062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
