,name1,name2,Site
150,gut Romboutsia,Romboutsia,Gut
152,gut Roseburia,Roseburia,Gut
154,gut Ruminiclostridium,Ruminiclostridium,Gut
155,gut Ruminococcus,Ruminococcus,Gut
158,gut Sellimonas,Sellimonas,Gut
159,gut Senegalimassilia,Senegalimassilia,Gut
164,gut Slackia,Slackia,Gut
165,gut Streptococcus,Streptococcus,Gut
166,gut Subdoligranulum,Subdoligranulum,Gut
167,gut Succinatimonas,Succinatimonas,Gut
170,gut Turicibacter,Turicibacter,Gut
171,gut unclassified Actinobacteria,unclassified Actinobacteria,Gut
172,gut unclassified Bacteria,unclassified Bacteria,Gut
180,gut unclassified Bacteroidales,unclassified Bacteroidales,Gut
181,gut unclassified Burkholderiales,unclassified Burkholderiales,Gut
182,gut unclassified Christensenellaceae,unclassified Christensenellaceae,Gut
183,gut unclassified Clostridia,unclassified Clostridia,Gut
184,gut unclassified Clostridiales,unclassified Clostridiales,Gut
187,gut unclassified Erysipelotrichaceae,unclassified Erysipelotrichaceae,Gut
189,gut unclassified Firmicutes,unclassified Firmicutes,Gut
190,gut unclassified Lachnospiraceae,unclassified Lachnospiraceae,Gut
191,gut unclassified Oscillospiraceae,unclassified Oscillospiraceae,Gut
192,gut unclassified Prevotellaceae,unclassified Prevotellaceae,Gut
195,gut unclassified Rhodospirillaceae,unclassified Rhodospirillaceae,Gut
196,gut unclassified Ruminococcaceae,unclassified Ruminococcaceae,Gut
198,gut unclassified Verrucomicrobia,unclassified Verrucomicrobia,Gut
0,oral Alloscardovia,Alloscardovia,Oral
1,oral Caviibacter,Caviibacter,Oral
2,oral Acidiphilium,Acidiphilium,Oral
3,oral Carnobacterium,Carnobacterium,Oral
4,oral Trueperella,Trueperella,Oral
5,oral Xylanimonas,Xylanimonas,Oral
6,oral unclassified Actinomycetaceae,unclassified Actinomycetaceae,Oral
7,oral unclassified Neisseriaceae,unclassified Neisseriaceae,Oral
8,oral Abiotrophia,Abiotrophia,Oral
9,oral Desulfomicrobium,Desulfomicrobium,Oral
11,oral Acetobacter,Acetobacter,Oral
12,oral Campylobacter,Campylobacter,Oral
13,oral Prevotella,Prevotella,Oral
14,oral Veillonella,Veillonella,Oral
17,oral Alloprevotella,Alloprevotella,Oral
19,oral Catonella,Catonella,Oral
20,oral Isoptericola,Isoptericola,Oral
21,oral unclassified Atopobiaceae,unclassified Atopobiaceae,Oral
23,oral Selenomonas,Selenomonas,Oral
24,oral Desulfobulbus,Desulfobulbus,Oral
25,oral Lactobacillus,Lactobacillus,Oral
26,oral Parascardovia,Parascardovia,Oral
27,oral Bradyrhizobium,Bradyrhizobium,Oral
29,oral Bacteroides,Bacteroides,Oral
32,oral Fretibacterium,Fretibacterium,Oral
33,oral Sanguibacter,Sanguibacter,Oral
34,oral unclassified Bacteroidetes,unclassified Bacteroidetes,Oral
35,oral unclassified Synergistaceae,unclassified Synergistaceae,Oral
36,oral unclassified Synergistales,unclassified Synergistales,Oral
37,oral Actinobaculum,Actinobaculum,Oral
38,oral Chlamydia,Chlamydia,Oral
39,oral Peptoanaerobacter,Peptoanaerobacter,Oral
