DATASET_HEATMAP
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap_60

#dataset color (can be changed later)
COLOR #ff0000

MARGIN 0
STRIP_WIDTH 25

SHOW_INTERNAL 0

SHOW_TREE 1

TREE_HEIGHT 1000

COLOR_MIN #ff0000
COLOR_MAX #0000ff

USE_MID_COLOR 1
COLOR_MID #ffff00

FIELD_LABELS FMT102 FMT103 FMT104 FMT105 FMT106 FMT107 FMT108 FMT109 FMT110 FMT111 FMT112 FMT113 FMT114 FMT115 FMT116 FMT117 FMT118 FMT119 FMT120 FMT121 FMT122 FMT123 FMT124 FMT125 FMT126 FMT127 FMT128 FMT129 FMT130 FMT131 FMT132 FMT133 FMT134 FMT135 FMT136 FMT137 FMT138 FMT139 FMT141 FMT142 FMT143 FMT144 FMT145 FMT146 FMT147 FMT148 FMT149 FMT150 FMT151 FMT152 FMT153 FMT154 FMT155 FMT156 FMT157 FMT158 FMT159 FMT161 FMT163 FMT164 FMT165 FMT166 FMT167 FMT168 FMT169 FMT170 FMT171 FMT172 FMT173 FMT174 FMT175 FMT177 FMT178 FMT180 FMT181 FMT182 FMT183 FMT184 FMT185 FMT186 FMT188 FMT189 FMT190 FMT191 FMT192 FMT193 FMT194 FMT195 FMT196 FMT201
DATA
msp_0742 -0.04785606624624584 -0.05125180774677927 0.023807362654727934 0.22229009734025654 0.40719466434363355 -0.07580378921277096 0.1735523864620439 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 0.093637010831222 -0.08600050476620454 -0.09910756103158239 -0.04017922129933942 -0.04241526836835774 6.578398418215313 -0.07319703243884702 -0.163049615734874 -0.18403573461709485 -0.03844646195591135 -0.22492028932134944 -0.14854473033010576 -0.1636663418555718 -0.2598787338561661 1.011803504642998 0.24345456433636545 0.11120185048108176 -0.0984245893380012 1.0519349906724713 0.04392942776454554 0.13430543200854247 0.8474638700494518 -0.1695018759589603 -0.1679144425259899 -0.14963635823315163 -0.06827338372622838 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 0.024120758658421133 0.22472930114227452 0.0985962362357563 0.3366531276676131 -0.0511855330543249 -0.09409372566891563 -0.062336706554967716 -0.001000546405992991 3.33027343201894 8.322943556193747 4.381144490257558 5.761276362487173 0.33394701255578085 -0.0772691089561002 0.6768814649962945 0.4145144317243853 0.021042774450768735 -0.10847398400049926 -0.09829243515874198 -0.03450441882571149 1.8721291378876441 0.42284009669993117 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.029272886869608404 -0.0629520013643137 0.04958383829445051 0.19360294232024017 -0.08013196573526789 -0.10686857281025547 -0.20390090358431445 -0.19446038416303044 -0.04621475863016202 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.0386147706385587 -0.049669297773746485 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0745 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.08020608170644394 0.8009233432438791 -0.10770426608619071 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0747 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 1.493444854464196 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 0.1556399955717748 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 0.05075664506449501 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0750 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.22708446441664057 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0751 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.0708373070524957 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0756 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 0.04654732919835703 -0.09480662809912718 0.08358191861172862 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 0.1346487519172042 0.03780863207238852 0.04840924209643794 -0.08358642516022849 0.9363642317319727 -0.043994707284963526 -0.06127357767070872 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.07346740036688605 -0.14522764141035888 0.07686063968537825 -0.038535995024289095 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.03760590949124019 -0.11038067170449178 -0.07661372627700022 -0.0977057051558759 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.05684861963372635 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0757 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.14416864441215296 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.14852133830550948 -0.17642108103940965 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.16487380490572662 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 0.07738869742991666 -0.1807344395095828 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 0.022189491455779364
msp_0759 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.13906588693005975 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0760 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.0847355299460517 -0.058077032095373425 -0.08971806644375441 -0.05076775453366524 -0.09203545482648427 -0.09015303954692003 -0.0875042805036315 -0.0828839714541913 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.09815032182370491 -0.09614105977318022 -0.04394525769467466 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.103004149890226 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.14874519846648354 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.11053475020385634 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.12488343375220887 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0761 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.09675319316311187 -0.018593679177807784 -0.10937316779490941 -0.1469216684031024 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.17870172047877395 -0.223700586685026 -0.1360976064717286 -0.1382608907101202 -0.11839106884716386 -0.23124285731142347 -0.1904723397997033 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.09843744569938848 -0.02279414180059245 -0.23056453054997025
msp_0763 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.017405536959120504 -0.07580378921277096 -0.15023343655400723 0.07175895694928752 -0.14865195549467627 -0.1257384716882165 0.3675388618375241 -0.0715697067327179 -0.1017321159154754 -0.033147933632722726 -0.0903115488038717 -0.09015303954692003 -0.05232345548820628 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 0.6696765595436042 2.528568496048418 3.801646837903752 1.2941561579813934 -0.06332650746883461 -0.14397090372006394 0.6006980668078497 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 2.7816680887668466 1.1701328520193968 0.9136908796730691 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 6.3018659235716905 5.412148862792326 6.8209885937465335 6.702964864236514 -0.09830428025145163 2.0328247290271677 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 0.8375249922980479 3.624554689681717 2.596872732710405 3.8943835943242027 -0.1100448921829947 -0.11038067170449178 0.2010828313126323 -0.0996836454588358 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 1.7864792131253506 0.17003627576896743 0.620538159024779 -0.1889881406653506 -0.222151714893826 1.5209409485964605 1.9359434056784457 0.12887746770045821 0.4676578560068817 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 1.5573685673146371
msp_0764 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 0.0059300180399375875 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0766 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.04768912926753912 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.18844783800406584 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.05997151781906212 -0.1160483074381033 -0.1889881406653506 -0.222151714893826 -0.03962515987836134 -0.21679176061197114 0.037801444322403586 -0.1286023366474055 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.0022094184225314307
msp_0767 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 0.29282391648165174 -0.0701933970236901 0.004513503126331824 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.08492248378789868 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 0.06271921670797724 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.08843269594974579 -0.02757796208696283 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 0.0657184673700624 -0.14967415587119032 -0.16425072541945387 0.8890948181898166 0.3344490291186716 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 0.5211368796655736 -0.23124285731142347 -0.21679176061197114 -0.20931987282446465 -0.19938480511751747 -0.1958885207460136 -0.12639814729267698 0.17803103922512278 0.015956524929277918
